din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2024-01-01 00:00:00;N;NORTE;NE;NORDESTE;2699.62600000
2024-01-01 00:00:00;N;NORTE;SE;SUDESTE;-3760.92400000
2024-01-01 00:00:00;NE;NORDESTE;SE;SUDESTE;-2794.05300000
2024-01-01 00:00:00;SE;SUDESTE;S;SUL;-4762.21100000
2024-01-01 01:00:00;N;NORTE;NE;NORDESTE;2594.90400000
2024-01-01 01:00:00;N;NORTE;SE;SUDESTE;-3717.56600000
2024-01-01 01:00:00;NE;NORDESTE;SE;SUDESTE;-2783.05300000
2024-01-01 01:00:00;SE;SUDESTE;S;SUL;-4765.38000000
2024-01-01 02:00:00;N;NORTE;NE;NORDESTE;2579.92000000
2024-01-01 02:00:00;N;NORTE;SE;SUDESTE;-3779.42100000
2024-01-01 02:00:00;NE;NORDESTE;SE;SUDESTE;-2853.52900000
2024-01-01 02:00:00;SE;SUDESTE;S;SUL;-4894.21800000
2024-01-01 03:00:00;N;NORTE;NE;NORDESTE;2447.81400000
2024-01-01 03:00:00;N;NORTE;SE;SUDESTE;-3657.99100000
2024-01-01 03:00:00;NE;NORDESTE;SE;SUDESTE;-2929.84400000
2024-01-01 03:00:00;SE;SUDESTE;S;SUL;-5010.32300000
2024-01-01 04:00:00;N;NORTE;NE;NORDESTE;2365.70600000
2024-01-01 04:00:00;N;NORTE;SE;SUDESTE;-3611.31800000
2024-01-01 04:00:00;NE;NORDESTE;SE;SUDESTE;-2947.04500000
2024-01-01 04:00:00;SE;SUDESTE;S;SUL;-5195.29699999
2024-01-01 05:00:00;N;NORTE;NE;NORDESTE;2229.25700000
2024-01-01 05:00:00;N;NORTE;SE;SUDESTE;-3580.11500000
2024-01-01 05:00:00;NE;NORDESTE;SE;SUDESTE;-2911.83800000
2024-01-01 05:00:00;SE;SUDESTE;S;SUL;-4732.43700000
2024-01-01 06:00:00;N;NORTE;NE;NORDESTE;2131.18700000
2024-01-01 06:00:00;N;NORTE;SE;SUDESTE;-3406.35000000
2024-01-01 06:00:00;NE;NORDESTE;SE;SUDESTE;-2808.47300000
2024-01-01 06:00:00;SE;SUDESTE;S;SUL;-4349.15500000
2024-01-01 07:00:00;N;NORTE;NE;NORDESTE;1619.04000000
2024-01-01 07:00:00;N;NORTE;SE;SUDESTE;-2898.35200000
2024-01-01 07:00:00;NE;NORDESTE;SE;SUDESTE;-2175.20899999
2024-01-01 07:00:00;SE;SUDESTE;S;SUL;-3492.78600000
2024-01-01 08:00:00;N;NORTE;NE;NORDESTE;1261.57600000
2024-01-01 08:00:00;N;NORTE;SE;SUDESTE;-2307.81000000
2024-01-01 08:00:00;NE;NORDESTE;SE;SUDESTE;-1272.82400000
2024-01-01 08:00:00;SE;SUDESTE;S;SUL;-2595.04400000
2024-01-01 09:00:00;N;NORTE;NE;NORDESTE;645.76800000
2024-01-01 09:00:00;N;NORTE;SE;SUDESTE;-1433.69000000
2024-01-01 09:00:00;NE;NORDESTE;SE;SUDESTE;-5.92800000
2024-01-01 09:00:00;SE;SUDESTE;S;SUL;-339.74000000
2024-01-01 10:00:00;N;NORTE;NE;NORDESTE;712.73100000
2024-01-01 10:00:00;N;NORTE;SE;SUDESTE;-1298.20500000
2024-01-01 10:00:00;NE;NORDESTE;SE;SUDESTE;-299.56000000
2024-01-01 10:00:00;SE;SUDESTE;S;SUL;-185.61600000
2024-01-01 11:00:00;N;NORTE;NE;NORDESTE;536.77200000
2024-01-01 11:00:00;N;NORTE;SE;SUDESTE;-936.31100000
2024-01-01 11:00:00;NE;NORDESTE;SE;SUDESTE;-713.07200000
2024-01-01 11:00:00;SE;SUDESTE;S;SUL;-351.00900000
2024-01-01 12:00:00;N;NORTE;NE;NORDESTE;671.26900000
2024-01-01 12:00:00;N;NORTE;SE;SUDESTE;-1030.64500000
2024-01-01 12:00:00;NE;NORDESTE;SE;SUDESTE;-854.59600000
2024-01-01 12:00:00;SE;SUDESTE;S;SUL;-630.36900000
2024-01-01 13:00:00;N;NORTE;NE;NORDESTE;734.32899999
2024-01-01 13:00:00;N;NORTE;SE;SUDESTE;-1177.68800000
2024-01-01 13:00:00;NE;NORDESTE;SE;SUDESTE;-1043.55100000
2024-01-01 13:00:00;SE;SUDESTE;S;SUL;-648.58300000
2024-01-01 14:00:00;N;NORTE;NE;NORDESTE;824.74800000
2024-01-01 14:00:00;N;NORTE;SE;SUDESTE;-1000.29900000
2024-01-01 14:00:00;NE;NORDESTE;SE;SUDESTE;-883.05500000
2024-01-01 14:00:00;SE;SUDESTE;S;SUL;-462.47400000
2024-01-01 15:00:00;N;NORTE;NE;NORDESTE;845.06600000
2024-01-01 15:00:00;N;NORTE;SE;SUDESTE;-1201.48600000
2024-01-01 15:00:00;NE;NORDESTE;SE;SUDESTE;-1108.34600000
