id_subsistema_terminalde;nom_subsistema_terminalde;id_subsistema_terminalpara;nom_subsistema_terminalpara;id_estado_terminalde;nom_estado_de;id_estado_terminalpara;nom_estado_para;nom_subestacao_de;nom_subestacao_para;val_niveltensao_kv;nom_tipoderede;nom_tipolinha;nom_agenteproprietario;nom_linhadetransmissao;cod_equipamento;dat_entradaoperacao;dat_desativacao;dat_prevista;val_comprimento;val_resistencia;val_reatancia;val_shunt;val_capacoperlongasemlimit;val_capacoperlongacomlimit;val_capacopercurtasemlimit;val_capacopercurtacomlimit;val_capacidadeoperveraodialonga;val_capacidadeoperveraonoitelonga;val_capacoperinvernodialonga;val_capacoperinvernonoitelonga;val_capacoperveradiacurta;val_capacoperveraonoitecurta;val_capacoperinvernodiacurta;val_capacoperinvernonoitecurta
SE;SUDESTE;SE;SUDESTE;AC;ACRE;AC;ACRE;FEIJO;RIO BRANCO I;230.0;BASICA;LINHA DE TRANSMISSÃO;ACRE;LT  230 kV FEIJO                / RIO BRANCO I         C 1  AC;ACFJ--2RB--1;2023-06-05;;2023-05-31;392.0;5.481;35.315;68.75;780.0;780.0;1070.0;1070.0;;;;;;;;
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;ARAPIRACA III;PENEDO;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV ARAPIRACA III        / PENEDO               C S9 AL;ALART-2PEN-1;2013-06-09;;2013-06-29;89.4;1.63;8.52;15.52;631.0;631.0;795.0;795.0;631.0;663.0;631.0;663.0;795.0;869.0;795.0;825.0
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;ARAPIRACA III;RIO LARGO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV ARAPIRACA III        / RIO LARGO II         C F1 AL;ALART-2RLD-1;2013-06-09;;2013-06-29;124.4;2.25;11.88;21.58;631.0;631.0;795.0;795.0;631.0;663.0;631.0;663.0;795.0;870.0;795.0;824.0
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;MACEIO;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / MACEIO               C S6 AL;ALMSI-2MCO-1;2002-11-10;;2003-06-30;26.5;0.33;1.8;6.46;1068.0;1068.0;1346.0;1250.0;1068.0;1089.0;1068.0;1089.0;1346.0;1446.0;1349.0;1367.0
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;MACEIO;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / MACEIO               C S7 AL;ALMSI-2MCO-2;2002-12-15;;2003-06-30;26.5;0.33;1.8;6.46;1068.0;1068.0;1346.0;1250.0;1068.0;1089.0;1068.0;1089.0;1346.0;1446.0;1349.0;1367.0
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;MACEIO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / MACEIO II            C M1 AL;ALMSI-2MCD-1;2019-02-17;;2019-02-15;19.71;0.18;1.32;4.9;1545.0;1545.0;1810.0;1810.0;;;;;;;;
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;MACEIO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / MACEIO II            C M2 AL;ALMSI-2MCD-2;2019-03-01;;2019-02-15;19.71;0.18;1.33;4.9;1545.0;1545.0;1810.0;1810.0;;;;;;;;
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;RIO LARGO II;230.0;BASICA;LINHA DE TRANSMISSÃO;RIO LARGO SPE;LT  230 kV MESSIAS              / RIO LARGO II         C C1 AL;ALMSI-2RLD-4;2023-10-31;;2023-09-20;15.0;0.097;0.9807;3.7332;1430.0;1430.0;1790.0;1790.0;;;;;;;;
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;RIO LARGO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / RIO LARGO II         C S3 AL;ALMSI-2RLD-1;2000-02-06;;;11.9;0.21;1.09;2.02;631.0;631.0;795.0;795.0;631.0;663.0;631.0;663.0;795.0;874.0;801.0;828.0
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;RIO LARGO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / RIO LARGO II         C S4 AL;ALMSI-2RLD-2;1990-12-31;;;11.9;0.21;1.09;2.02;437.0;437.0;621.0;621.0;631.0;663.0;631.0;663.0;795.0;874.0;801.0;828.0
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;MESSIAS;RIO LARGO II;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV MESSIAS              / RIO LARGO II         C S5 AL;ALMSI-2RLD-3;1990-12-31;;;11.6;0.21;1.09;2.02;437.0;437.0;621.0;621.0;437.0;546.0;437.0;551.0;621.0;788.0;660.0;751.0
NE;NORDESTE;NE;NORDESTE;AL;ALAGOAS;AL;ALAGOAS;RIO LARGO II;PENEDO;230.0;BASICA;LINHA DE TRANSMISSÃO;CHESF;LT  230 kV RIO LARGO II         / PENEDO               C S9 AL;ALRLD-2PEN-1;1990-12-31;2013-06-09;;122.7;2.29;11.9;21.62;;;;;;;;;;;;
